SlNo,Product,URL,Environment,TCID,TestCaseDescription,Browser,Result,Investigations,TestStartedTime,TestEndedTime,Timetakentofinish,
365,DrySign,icdemo-drysign.exela.global,Demo,TC002,ExelaAuth service (Login),chrome,PASSED,,2020-06-11 05:30:16 AM,2020-06-11 05:30:48 AM,00:00:32,
366,DrySign,icdemo-drysign.exela.global,Demo,TC003,eFA service (Download),chrome,PASSED,,2020-06-11 05:30:49 AM,2020-06-11 05:31:27 AM,00:00:38,
367,DrySign,icdemo-drysign.exela.global,Demo,TC001,Tomcat service (URL),chrome,PASSED,,2020-06-11 06:30:06 AM,2020-06-11 06:30:17 AM,00:00:11,
368,DrySign,icdemo-drysign.exela.global,Demo,TC002,ExelaAuth service (Login),chrome,PASSED,,2020-06-11 06:30:18 AM,2020-06-11 06:30:51 AM,00:00:33,
369,DrySign,icdemo-drysign.exela.global,Demo,TC003,eFA service (Download),chrome,PASSED,,2020-06-11 06:30:54 AM,2020-06-11 06:31:35 AM,00:00:41,
370,DrySign,icdemo-drysign.exela.global,Demo,TC001,Tomcat service (URL),chrome,PASSED,,2020-06-11 07:30:05 AM,2020-06-11 07:30:15 AM,00:00:10,
371,DrySign,icdemo-drysign.exela.global,Demo,TC002,ExelaAuth service (Login),chrome,PASSED,,2020-06-11 07:30:17 AM,2020-06-11 07:30:48 AM,00:00:31,
372,DrySign,icdemo-drysign.exela.global,Demo,TC003,eFA service (Download),chrome,PASSED,,2020-06-11 07:30:49 AM,2020-06-11 07:31:27 AM,00:00:38,
373,DrySign,icdemo-drysign.exela.global,Demo,TC001,Tomcat service (URL),chrome,FAILED,,2020-06-11 08:30:05 AM,2020-06-11 08:30:42 AM,00:00:37,
374,DrySign,icdemo-drysign.exela.global,Demo,TC002,ExelaAuth service (Login),chrome,FAILED,,2020-06-11 08:30:43 AM,2020-06-11 08:31:19 AM,00:00:36,
375,DrySign,icdemo-drysign.exela.global,Demo,TC003,eFA service (Download),chrome,FAILED,,2020-06-11 08:31:21 AM,2020-06-11 08:31:57 AM,00:00:36,
376,DrySign,icdemo-drysign.exela.global,Demo,TC001,Tomcat service (URL),chrome,PASSED,,2020-06-11 10:30:05 AM,2020-06-11 10:30:15 AM,00:00:10,
377,DrySign,icdemo-drysign.exela.global,Demo,TC002,ExelaAuth service (Login),chrome,PASSED,,2020-06-11 10:30:17 AM,2020-06-11 10:30:48 AM,00:00:31,
378,DrySign,icdemo-drysign.exela.global,Demo,TC003,eFA service (Download),chrome,PASSED,,2020-06-11 10:30:49 AM,2020-06-11 10:31:30 AM,00:00:41,
379,DrySign,icdemo-drysign.exela.global,Demo,TC001,Tomcat service (URL),chrome,PASSED,,2020-06-11 12:30:06 PM,2020-06-11 12:30:16 PM,00:00:10,
380,DrySign,icdemo-drysign.exela.global,Demo,TC002,ExelaAuth service (Login),chrome,PASSED,,2020-06-11 12:30:17 PM,2020-06-11 12:30:49 PM,00:00:32,
381,DrySign,icdemo-drysign.exela.global,Demo,TC003,eFA service (Download),chrome,PASSED,,2020-06-11 12:30:50 PM,2020-06-11 12:31:28 PM,00:00:38,
382,DrySign,icdemo-drysign.exela.global,Demo,TC001,Tomcat service (URL),chrome,PASSED,,2020-06-11 01:30:06 PM,2020-06-11 01:30:16 PM,00:00:10,
383,DrySign,icdemo-drysign.exela.global,Demo,TC002,ExelaAuth service (Login),chrome,PASSED,,2020-06-11 01:30:17 PM,2020-06-11 01:30:49 PM,00:00:32,
384,DrySign,icdemo-drysign.exela.global,Demo,TC003,eFA service (Download),chrome,PASSED,,2020-06-11 01:30:50 PM,2020-06-11 01:31:28 PM,00:00:38,
